name,type,latitude,longitude,address,businessStatus,estbDate,facilityId,welfacilityId
프라임빌딩,63 - 지역아동센터,37.20115078,127.0725541,경기도 화성시 동탄중심상가1길 27,영업,20200101,20155848652,4159012700-1-01040006
밀레니엄종합복지관 (봉화군),63 - 지역아동센터,36.83649784,128.7559382,경상북도 봉화군 상운면 작동길 12-1,영업,20120704,20155846650,4792038021-1-03940000
해광산업,63 - 지역아동센터,0,0,경기도 용인시 처인구 모현읍 이일로 112-4,영업,20180727,20155856074,4146125325-1-03940009
소사본3주민지원센터,64 - 지역자치센터,37.4728111,126.7980926,경기도 부천시 은성로68번길 56,영업,20020801,20155894779,4119011000-1-02000026
상동주민센터,64 - 지역자치센터,34.81380036,126.4141723,전라남도 목포시 상리로1번길 32,영업,19980411,20155751751,4611015800-1-07440001
삭제요청(중복),64 - 지역자치센터,34.76892612,127.7043901,전라남도 여수시 미평3길 42,영업,20100603,20155751791,4613012200-1-06710000
무주군선거관리위원회청사,64 - 지역자치센터,36.0030804,127.6705755,전북특별자치도 무주군 무주읍 한풍루로 408-1,영업,20090121,20155751994,4573032030-1-05580001
목포시자동차등록사무소,64 - 지역자치센터,34.81305914,126.376548,전라남도 목포시 연산로197(연산동),영업,19980411,20155754214,4611010300-1-12360010
목포시통계상황실,64 - 지역자치센터,34.81305914,126.376548,전라남도 목포시 연산로197(연산동),영업,19980411,20155754219,4611010300-1-12360010
하서면사무소,64 - 지역자치센터,0,0,전북특별자치도 부안군 하서면 하서길 28-5,영업,19980411,20155754227,4580040022-1-05090003
신풍동주민센터,64 - 지역자치센터,35.97286377,126.7007946,전북특별자치도 군산시 대학로 215(문화동),영업,20110310,20155754250,4513011000-1-09190002
칠량면사무소,64 - 지역자치센터,34.57282146,126.7993572,전라남도 강진군 칠량면 칠량로 67,영업,19980411,20155754272,4681032023-1-10720007
태인면사무소,64 - 지역자치센터,35.65057449,126.9320873,전북특별자치도 정읍시 태인면 정읍북로 1193,영업,20090224,20155756645,4518039030-1-04250000
무안읍사무소,64 - 지역자치센터,34.99052785,126.4763518,전라남도 무안군 무안읍 성내1길 2,영업,19980412,20155756680,4684025021-1-01910000
망운면사무소,64 - 지역자치센터,35.012725,126.3945377,전라남도 무안군 망운면 운해로 1436-10,영업,20050125,20155754438,4684035021-1-05040001
군동면사무소,64 - 지역자치센터,34.64490172,126.8150271,전라남도 강진군 군동면 진흥로 315,영업,20161018,20155752250,4681031023-1-02680000
산외면사무소,64 - 지역자치센터,35.62132187,127.0419029,전북특별자치도 정읍시 산외로462-1,영업,19980411,20155754627,4518044022-1-04420002
대구면사무소,64 - 지역자치센터,34.49539224,126.8007745,전라남도 강진군 대구면 수동길 18,영업,19980411,20155752264,4681033021-1-05410000
